Exercise Name,Equipment,Mechanics,Force,Main_muscle,Difficulty (1-5)
Pushdown:  with back support,Cable,Isolated,Push,Upper Arms,2
Pushdown:  with V-bar attachment,Cable,Isolated,Push,Upper Arms,2
Triceps Dip,Cable,Compound,Push,Upper Arms,4
Triceps Extension,Cable,Isolated,Push,Upper Arms,2
Triceps Extension:  with rope,Cable,Isolated,Push,Upper Arms,2
Kickback,Dumbbell,Isolated,Push,Upper Arms,2
Lying Triceps Extension,Dumbbell,Isolated,Push,Upper Arms,3
One Arm Triceps Extension (on bench),Dumbbell,Isolated,Push,Upper Arms,2
Triceps Extension,Dumbbell,Isolated,Push,Upper Arms,2
Close Grip Bench Press,Lever (plate loaded),Compound,Push,Upper Arms,3
Triceps Extension,Lever (plate loaded),Isolated,Push,Upper Arms,2
Triceps Dip,Lever (plate loaded),Compound,Push,Upper Arms,4
Triceps Dip,Lever (selectorized),Compound,Push,Upper Arms,4
Triceps Dip:  alternative machine,Lever (selectorized),Compound,Push,Upper Arms,4
Triceps Extension,Lever (selectorized),Isolated,Push,Upper Arms,2
Triceps Extension:  with preacher pad New!,Lever (selectorized),Isolated,Push,Upper Arms,3
Standing Triceps Dip,Sled,Isolated,Push,Upper Arms,3
Close Grip Bench Press,Smith,Compound,Push,Upper Arms,3
Bench Dip,Weighted,Compound,Push,Upper Arms,3
Triceps Dip,Weighted,Compound,Push,Upper Arms,4
Triceps Dip,Band-assisted,Compound,Push,Upper Arms,4
Bench Dip,Body Weight,Compound,Push,Upper Arms,3
Bench Dip:  heel on floor,Body Weight,Compound,Push,Upper Arms,2
Close Grip Push-up,Body Weight,Compound,Push,Upper Arms,3
Close Grip Push-up:  on knees,Body Weight,Compound,Push,Upper Arms,2
Close Grip Push-up:  Incline on bar,Body Weight,Compound,Push,Upper Arms,3
Triceps Dip,Body Weight,Compound,Push,Upper Arms,4
Triceps Extension,Suspended,Isolated,Push,Upper Arms,2
Triceps Dip,Self-assisted,Compound,Push,Upper Arms,4
Curl,Barbell,Isolated,Pull,Upper Arms,2
Alternating Curl,Cable,Isolated,Pull,Upper Arms,2
Curl,Cable,Isolated,Pull,Upper Arms,2
Curl:  with stirrups,Cable,Isolated,Pull,Upper Arms,2
Curl:  One Arm Curl,Cable,Isolated,Pull,Upper Arms,2
Curl,Dumbbell,Isolated,Pull,Upper Arms,2
Incline Curl,Dumbbell,Isolated,Pull,Upper Arms,3
Curl,Lever (selectorized),Isolated,Pull,Upper Arms,2
Inverted Biceps Row,Body Weight,Compound,Pull,Upper Arms,3
Preacher Curl,Barbell,Isolated,Pull,Upper Arms,3
Prone Incline Curl,Barbell,Isolated,Pull,Upper Arms,3
Concentration Curl,Cable,Isolated,Pull,Upper Arms,2
Preacher Curl,Cable,Isolated,Pull,Upper Arms,3
Preacher Curl: Stirrups,Cable,Isolated,Pull,Upper Arms,3
Concentration Curl,Dumbbell,Isolated,Pull,Upper Arms,2
Preacher Curl,Dumbbell,Isolated,Pull,Upper Arms,3
Preacher Curl,Lever (plate loaded),Isolated,Pull,Upper Arms,3
Preacher Curl: arms high,Lever (plate loaded),Isolated,Pull,Upper Arms,3
Preacher Curl,Lever (selectorized),Isolated,Pull,Upper Arms,3
Preacher Curl: arms high,Lever (selectorized),Isolated,Pull,Upper Arms,3
Arm Curl,Suspended,Isolated,Pull,Upper Arms,2
Reverse Curl,Barbell,Isolated,Pull,Forearm,2
Hammer Curl,Cable,Isolated,Pull,Forearm,2
Reverse Curl,Cable,Isolated,Pull,Forearm,2
Hammer Curl,Dumbbell,Isolated,Pull,Forearm,2
Reverse Curl,Lever (selectorized),Isolated,Pull,Forearm,2
Wrist Curl,Barbell,Isolated,Pull,Forearm,1
Wrist Curl,Cable,Isolated,Pull,Forearm,1
Wrist Curl,Dumbbell,Isolated,Pull,Forearm,1
Grip,Lever (plate loaded),Isolated,Pull,Forearm,1
Wrist Curl,Lever (plate loaded),Isolated,Pull,Forearm,1
Grip,Lever (selectorized),Isolated,Pull,Forearm,1
Wrist Curl,Lever (selectorized),Isolated,Pull,Forearm,1
One Hand Grip,Sled (selectorized),Isolated,Pull,Forearm,2
One Hand,Sled (plate loaded),Isolated,Pull,Forearm,2
Reverse Wrist Curl,Barbell,Isolated,Pull,Forearm,1
Reverse Wrist Curl,Cable,Isolated,Pull,Forearm,1
Reverse Wrist Curl,Dumbbell,Isolated,Pull,Forearm,1
Reverse Wrist Curl,Lever (plate loaded),Isolated,Pull,Forearm,1
Reverse Wrist Curl,Lever (selectorized),Isolated,Pull,Forearm,1
Seated Pronation ,Dumbbell,Isolated,Push,Forearm,1
Seated Pronation ,Lever (selectorized),Isolated,Push,Forearm,1
Seated Supination,Dumbbell,Isolated,Pull,Forearm,1
Seated Supination,Lever (selectorized),Isolated,Pull,Forearm,1
Bent-over Row,Barbell,Compound,Pull,Back,3
Bent-over Row:  Underhand,Barbell,Compound,Pull,Back,3
One Arm Bent-over Row,Cable,Compound,Pull,Back,3
One Arm Straight Back Seated High Row,Cable,Compound,Pull,Back,3
Seated Row,Cable,Compound,Pull,Back,2
Seated Row:  Straight Back,Cable,Compound,Pull,Back,2
Seated Wide Grip Row,Cable,Compound,Pull,Back,2
Seated Wide Grip Row:  Straight Back,Cable,Compound,Pull,Back,2
Bent-over Row,Dumbbell,Compound,Pull,Back,3
Lying Row,Dumbbell,Compound,Pull,Back,2
Incline Row,Lever (plate loaded),Compound,Pull,Back,3
Incline Row:  Close Grip,Lever (plate loaded),Compound,Pull,Back,3
Seated Rows,Lever (plate loaded),Compound,Pull,Back,2
Seated Rows:  Narrow Grip,Lever (plate loaded),Compound,Pull,Back,2
"Seated Rows:  Wide Grip

Low Bar

",Lever (plate loaded),Compound,Pull,Back,2
Seated Rows (Others),Lever (plate loaded),Compound,Pull,Back,2
Seated Rows (Others):  Seated Low Row,Lever (plate loaded),Compound,Pull,Back,2
Seated Rows (Others):  Seated High Row,Lever (plate loaded),Compound,Pull,Back,2
T-bar Row,Lever (plate loaded),Compound,Pull,Back,3
T-bar Row:  Close grip,Lever (plate loaded),Compound,Pull,Back,3
Seated Row,Lever (selectorized),Compound,Pull,Back,2
Seated Row:  Wide Grip,Lever (selectorized),Compound,Pull,Back,2
Seated Row (no chest pad),Lever (selectorized),Compound,Pull,Back,3
Seated Row (no chest pad):  Straight Back,Lever (selectorized),Compound,Pull,Back,3
Underhand Seated Row,Lever (selectorized),Compound,Pull,Back,2
Bent-over Row,Smith,Compound,Pull,Back,3
Inverted Row,Weighted,Compound,Pull,Back,3
Inverted Row,Body Weight,Compound,Pull,Back,3
Inverted Row:  Feet Elevated,Body Weight,Compound,Pull,Back,4
Inverted Row:  High Bar,Body Weight,Compound,Pull,Back,3
Inverted Row:  On Hips,Body Weight,Compound,Pull,Back,3
Inverted Row,Suspended,Compound,Pull,Back,3
Inverted Row:  One Arm,Suspended,Compound,Pull,Back,4
Row,Suspended,Compound,Pull,Back,2
Row:  One Arm,Suspended,Compound,Pull,Back,3
Pull-up (open-centered bar),Assisted (machine),Compound,Pull,Back,4
Pull-up (open-centered bar):  Standing,Assisted (machine),Compound,Pull,Back,4
Parallel Close Grip Pull-up,Assisted (machine),Compound,Pull,Back,4
Pullover,Barbell,Isolated,Pull,Back,2
Bent-over Pullover,Cable,Isolated,Pull,Back,3
Close Grip Pulldown,Cable,Compound,Pull,Back,2
Pulldown,Cable,Compound,Pull,Back,2
Pulldown:  Parallel Grip Pulldown,Cable,Compound,Pull,Back,2
Pullup/Chinup,Cable,Compound,Pull,Back,4
Pullup/Chinup:  Chinup,Cable,Compound,Pull,Back,4
Pullup/Chinup:  Parallel Close Grip Pull-up,Cable,Compound,Pull,Back,4
Pullup/Chinup:  Parallel Grip Pull-up,Cable,Compound,Pull,Back,4
Pullup/Chinup:  Pull-up,Cable,Compound,Pull,Back,4
Underhand Pulldown,Cable,Compound,Pull,Back,2
Pulldown,Lever (plate loaded),Compound,Pull,Back,2
Underhand Pulldown,Lever (plate loaded),Compound,Pull,Back,2
Close Grip Pulldown,Lever (selectorized),Compound,Pull,Back,2
Front Pulldown,Lever (selectorized),Compound,Pull,Back,2
Pulldown,Lever (selectorized),Compound,Pull,Back,2
Pullover,Lever (selectorized),Isolated,Pull,Back,2
Chin-up,Weighted,Compound,Pull,Back,4
Parallel Close Grip Pull-up,Weighted,Compound,Pull,Back,4
Pull-up,Weighted,Compound,Pull,Back,4
Archer Pull-up,Band-assisted,Compound,Pull,Back,5
Chin-up,Band-assisted,Compound,Pull,Back,4
Pull-up,Band-assisted,Compound,Pull,Back,4
Pull-up:  Parallel Grip,Band-assisted,Compound,Pull,Back,4
Archer Pull-up,Body Weight,Compound,Pull,Back,5
Chin-up,Body Weight,Compound,Pull,Back,4
One Arm Pull-up New!,Body Weight,Compound,Pull,Back,5
Parallel Close Grip Pull-up,Body Weight,Compound,Pull,Back,4
Pull-up,Body Weight,Compound,Pull,Back,4
Chin-up,Assisted (partner),Compound,Pull,Back,4
Pull-up,Assisted (partner),Compound,Pull,Back,4
Chin-up,Self-assisted,Compound,Pull,Back,4
Pull-up,Self-assisted,Compound,Pull,Back,4
Pull-up,Suspension,Compound,Pull,Back,4
Pull-up:  Self-assisted,Suspension,Compound,Pull,Back,3
Shrug,Barbell,Isolated,Pull,Back,1
Trap Bar Shrug,Barbell,Isolated,Pull,Back,2
Shrug,Cable,Isolated,Pull,Back,1
Shrug with Stirrups,Cable,Isolated,Pull,Back,1
Shrug,Dumbbell,Isolated,Pull,Back,1
Seated Shrug,Lever (plate loaded),Isolated,Pull,Back,1
Shrug,Lever (plate loaded),Isolated,Pull,Back,1
Shrug,Lever (selectorized),Isolated,Pull,Back,1
Gripless Shrug,Sled,Isolated,Pull,Back,1
Shrug,Smith,Isolated,Pull,Back,1
Inverted Shrug,Body Weight,Isolated,Pull,Back,2
Inverted Shrug,Suspended,Isolated,Pull,Back,2
Seated Shoulder External Rotation,Cable,Isolated,Pull,Back,1
Seated Shoulder External Rotation:  Standing,Cable,Isolated,Pull,Back,1
Lying Shoulder External Rotation,Dumbbell,Isolated,Pull,Back,1
Upright Shoulder External Rotation (with support),Dumbbell,Isolated,Pull,Back,1
Shoulder External Rotation,Lever (plate loaded),Isolated,Pull,Back,1
Shoulder External Rotation,Lever (selectorized),Isolated,Pull,Back,1
Shoulder External Rotation,Suspended,Isolated,Pull,Back,1
Standing Shoulder Internal Rotation,Cable,Isolated,Pull,Back,1
Shoulder Internal Rotation,Dumbbell,Isolated,Pull,Back,1
Shoulder Internal Rotation:  on floor,Dumbbell,Isolated,Pull,Back,1
Shoulder Internal Rotation,Lever (plate loaded),Isolated,Pull,Back,1
Shoulder Internal Rotation,Lever (selectorized),Isolated,Pull,Back,1
Chest Dip,Assisted,Compound,Push,Chest,3
Chest Dip:  kneeling,Assisted,Compound,Push,Chest,2
Bench Press,Barbell,Compound,Push,Chest,3
Bench Press:  Power Lift,Barbell,Compound,Push,Chest,4
Decline Bench Press,Barbell,Compound,Push,Chest,3
Flies,Cable,Isolated,Push,Chest,2
Flies:  Lying Fly,Cable,Isolated,Push,Chest,2
Flies:  Seated Fly,Cable,Isolated,Push,Chest,2
Flies:  Standing Fly,Cable,Isolated,Push,Chest,2
Presses,Cable,Compound,Push,Chest,3
Presses:  Bench Press,Cable,Compound,Push,Chest,3
"Presses:  Chest Press

Standing

",Cable,Compound,Push,Chest,3
Presses:  Decline Chest Press,Cable,Compound,Push,Chest,3
Bench Press,Dumbbell,Compound,Push,Chest,3
Decline Bench Press,Dumbbell,Compound,Push,Chest,3
Fly,Dumbbell,Isolated,Push,Chest,2
Pullover,Dumbbell,Isolated,Push,Chest,2
Bench Press,Lever (plate loaded),Compound,Push,Chest,3
Chest Dip,Lever (plate loaded),Compound,Push,Chest,3
Chest Press,Lever (plate loaded),Compound,Push,Chest,3
Decline Chest Press,Lever (plate loaded),Compound,Push,Chest,3
Chest Dip,Lever (selectorized),Compound,Push,Chest,3
Flies,Lever (selectorized),Isolated,Push,Chest,2
Flies:  Lying Fly,Lever (selectorized),Isolated,Push,Chest,2
Flies:  Pec Deck Fly,Lever (selectorized),Isolated,Push,Chest,2
Flies:  Seated Fly,Lever (selectorized),Isolated,Push,Chest,2
Presses,Lever (selectorized),Compound,Push,Chest,3
Presses:  Bench Press,Lever (selectorized),Compound,Push,Chest,3
"Presses:  Chest Press

alternative machine

",Lever (selectorized),Compound,Push,Chest,3
Presses:  Decline Chest Press,Lever (selectorized),Compound,Push,Chest,3
Standing Chest Dip,Sled,Compound,Push,Chest,3
Bench Press,Smith,Compound,Push,Chest,3
Decline Bench Press,Smith,Compound,Push,Chest,3
Chest Dip,Weighted,Compound,Push,Chest,3
Push-up,Weighted,Compound,Push,Chest,2
Chest Dip,Band-assisted,Compound,Push,Chest,3
Chest Dip,Body Weight,Compound,Push,Chest,3
Push-up,Body Weight,Compound,Push,Chest,2
Push-up:  Archer,Body Weight,Compound,Push,Chest,3
Push-up:  Incline,Body Weight,Compound,Push,Chest,2
Push-up:  on knees,Body Weight,Compound,Push,Chest,1
Chest Dip,Self-assisted,Compound,Push,Chest,3
Chest Dip,Suspended,Compound,Push,Chest,3
Chest Press,Suspended,Compound,Push,Chest,3
Fly,Suspended,Isolated,Push,Chest,2
Clap Push-up,Plyometric,Compound,Push,Chest,4
Depth Push-up,Plyometric,Compound,Push,Chest,3
Incline Bench Press,Barbell,Compound,Push,Chest,3
Incline Bench Press,Cable,Compound,Push,Chest,3
Incline Chest Press,Cable,Compound,Push,Chest,3
Incline Fly,Cable,Isolated,Push,Chest,2
Incline Bench Press,Dumbbell,Compound,Push,Chest,3
Incline Fly,Dumbbell,Isolated,Push,Chest,2
Incline Chest Press,Lever (plate loaded),Compound,Push,Chest,3
Incline Chest Press:  on Military Press Machine,Lever (plate loaded),Compound,Push,Chest,3
Incline Bench Press,Lever (selectorized),Compound,Push,Chest,3
Incline Chest Press,Lever (selectorized),Compound,Push,Chest,3
Incline Fly,Lever (selectorized),Compound,Push,Chest,2
Incline Bench Press,Smith,Compound,Push,Chest,3
Decline Push-up,Body Weight,Compound,Push,Chest,3
Decline Push-up:  on stability ball,Body Weight,Compound,Push,Chest,4
Chest Dip ,Assisted  Chest Dip  ,Compound,Push,Chest,3
Standing Fly ,Cable  Standing Fly  ,Isolated,Push,Chest,2
Chest Dip ,Lever (selectorized)  Chest Dip  ,Compound,Push,Chest,3
Chest Dip ,Weighted  Chest Dip  ,Compound,Push,Chest,3
Incline Shoulder Raise,Barbell,Isolated,Push,Chest,2
Incline Shoulder Raise,Cable,Isolated,Push,Chest,2
Incline Shoulder Raise,Dumbbell,Isolated,Push,Chest,2
Incline Shoulder Raise,Lever (plate loaded),Isolated,Push,Chest,2
Incline Shoulder Raise,Lever (selectorized),Isolated,Push,Chest,2
Incline Shoulder Raise,Smith,Isolated,Push,Chest,2
Push-up Plus,Body Weight,Isolated,Push,Chest,3
Bent Knee Good-morning,Barbell,Isolated,Pull,Hips,3
Deadlifts,Barbell,Compound,Pull,Hips,5
"Deadlifts:  Stiff-leg Deadlift

Straight-back

",Barbell,Compound,Pull,Hips,4
Hip Thrust,Barbell,Compound,Pull,Hips,3
Lunge,Barbell,Compound,Push,Hips,3
Lunge:  Rear Lunge,Barbell,Compound,Push,Hips,3
Single Leg Split Squat,Barbell,Compound,Push,Hips,4
Single Leg Split Squat:  Single Leg Squat,Barbell,Compound,Push,Hips,4
Single Leg Split Squat:  Split Squat,Barbell,Compound,Push,Hips,3
Squat,Barbell,Compound,Push,Hips,4
Squat:  Front Squat,Barbell,Compound,Push,Hips,4
Squat:  Full Squat,Barbell,Compound,Push,Hips,5
Squat:  Safety Squat,Barbell,Compound,Push,Hips,4
Step-up,Barbell,Compound,Push,Hips,3
Glute Kickback,Cable,Compound,Push,Hips,2
Rear Lunge,Cable,Compound,Push,Hips,3
Split Squat,Cable,Compound,Push,Hips,3
Split Squat:  Two Arms,Cable,Compound,Push,Hips,3
Squat,Cable,Compound,Push,Hips,4
Standing Hip Extension,Cable,Isolated,Push,Hips,2
Standing Hip Extension:  Bent-over,Cable,Isolated,Push,Hips,2
Step-up,Cable,Compound,Push,Hips,3
Stiff-leg Deadlift,Cable,Compound,Pull,Hips,4
Stiff-leg Deadlift:  Straight-back,Cable,Isolated,Pull,Hips,4
Lunge,Dumbbell,Compound,Push,Hips,3
Lunge:  Rear Lunge,Dumbbell,Compound,Push,Hips,3
Split Squat,Dumbbell,Compound,Push,Hips,3
Squat,Dumbbell,Compound,Push,Hips,4
Squat:  Front Squat,Dumbbell,Compound,Push,Hips,4
Step-up,Dumbbell,Compound,Push,Hips,3
Step-up:  Step Down,Dumbbell,Compound,Push,Hips,3
Deadlift,Lever (plate loaded),Compound,Pull,Hips,5
"Deadlift:  Stiff-leg Deadlift

Straight-back

",Lever (plate loaded),Compound,Pull,Hips,4
Leg Presses,Lever (plate loaded),Compound,Push,Hips,3
Leg Presses:  45° Leg Press,Lever (plate loaded),Compound,Push,Hips,3
Leg Presses:  Lying Leg Press,Lever (plate loaded),Compound,Push,Hips,3
Leg Presses:  Seated Leg Press,Lever (plate loaded),Compound,Push,Hips,3
Lying Hip Extension,Lever (plate loaded),Isolated,Push,Hips,2
Reverse Hyper-extension,Lever (plate loaded),Isolated,Push,Hips,3
Single Leg Split Squat,Lever (plate loaded),Compound,Push,Hips,4
Single Leg Split Squat:  Single Leg Squat,Lever (plate loaded),Compound,Push,Hips,4
Split Squat,Lever (plate loaded),Compound,Push,Hips,3
Squat,Lever (plate loaded),Compound,Push,Hips,4
Squat:  Front Squat,Lever (plate loaded),Compound,Push,Hips,4
Hip Extensions,Lever (selectorized),Isolated,Push,Hips,2
Hip Extensions:  Bent-over,Lever (selectorized),Isolated,Push,Hips,2
Hip Extensions:  Lying,Lever (selectorized),Isolated,Push,Hips,2
"Hip Extensions:  Standing

alternative machine

",Lever (selectorized),Isolated,Push,Hips,2
Leg Presses,Lever (selectorized),Compound,Push,Hips,3
Leg Presses:  Seated Leg Press,Lever (selectorized),Compound,Push,Hips,3
Glute Kickback,Lever (selectorized),Compound,Push,Hips,2
Glute Kickback:  Bent-over,Lever (selectorized),Compound,Push,Hips,2
Glute Kickback:  Kneeling,Lever (selectorized),Compound,Push,Hips,2
Glute Kickback:  Standing,Lever (selectorized),Compound,Push,Hips,2
Squat,Lever (selectorized),Compound,Push,Hips,4
Squat:  V-Squat,Lever (selectorized),Compound,Push,Hips,4
Leg Presses,Sled,Compound,Push,Hips,3
Leg Presses:  45° Leg Press,Sled,Compound,Push,Hips,3
Leg Presses:  Lying Leg Press,Sled,Compound,Push,Hips,3
Leg Presses:  Seated Leg Press,Sled,Compound,Push,Hips,3
Glute Kickback,Sled,Compound,Push,Hips,2
Glute Kickback:  Kneeling,Sled,Compound,Push,Hips,2
Glute Kickback:  Standing,Sled,Compound,Push,Hips,2
Squat,Sled,Compound,Push,Hips,4
Squat:  Hack Squat,Sled,Compound,Push,Hips,4
Deadlift,Smith,Compound,Pull,Hips,5
"Deadlift:  Stiff-leg Deadlift

Straight-back

",Smith,Compound,Pull,Hips,4
Rear Lunge,Smith,Compound,Push,Hips,3
Squat,Smith,Compound,Push,Hips,4
Reverse Hyper-extension,Weighted,Isolated,Push,Hips,3
Single Leg Squat,Weighted,Compound,Push,Hips,4
Lunge,Body Weight,Compound,Push,Hips,3
Rear Lunge,Body Weight,Compound,Push,Hips,3
Single Leg Squat,Body Weight,Compound,Push,Hips,4
Split Squat,Body Weight,Compound,Push,Hips,3
Split Squat:  Single Leg Split Squat,Body Weight,Compound,Push,Hips,4
Single Leg Stiff Leg Deadlift,Body Weight,Isolated,Pull,Hips,4
Squat,Body Weight,Compound,Push,Hips,4
Step-up,Body Weight,Compound,Push,Hips,3
Step-up:  Step Down,Body Weight,Compound,Push,Hips,3
Single Leg Squat (leg wrapped),Self-assisted,Compound,Push,Hips,4
Step Down,Self-assisted,Compound,Push,Hips,3
Hip Bridge,Suspended,Isolated,Push,Hips,2
Single Leg Squat,Suspended,Compound,Push,Hips,4
Single Leg Split Squat,Suspended,Compound,Push,Hips,4
Hip Abduction,Cable,Isolated,Push,Hips,2
Seated Hip Internal Rotation,Cable,Isolated,Pull,Hips,1
Lying Hip Abduction,Dumbbell,Isolated,Push,Hips,2
Seated Hip Abduction,Lever (plate loaded),Isolated,Push,Hips,2
Seated Hip Abduction,Lever (selectorized),Isolated,Push,Hips,2
Standing Hip Abduction,Lever (selectorized),Isolated,Push,Hips,2
Lying Hip Abduction,Weighted,Isolated,Push,Hips,2
Twist,Cable (pull side),Isolated,Pull,Hips,2
Hip Abduction,Suspended,Isolated,Push,Hips,2
Side Bend,Suspended,Isolated,Pull,Hips,2
Assisted Wheel Rollout,Cable,Isolated,Pull,Hips,3
Lying Leg Raise,Cable,Isolated,Pull,Hips,2
Lying Leg Raise:  on bench,Cable,Isolated,Pull,Hips,2
Lying Leg Raise:  Straight Leg,Cable,Isolated,Pull,Hips,3
Standing Leg Raise,Cable,Isolated,Pull,Hips,2
Standing Leg Raise:  Straight Leg,Cable,Isolated,Pull,Hips,3
Hip Flexion,Lever,Isolated,Pull,Hips,2
Lying Leg Raise,Lever,Isolated,Pull,Hips,2
Vertical Leg Raise,Lever,Isolated,Pull,Hips,4
Decline Sit-up,Weighted,Isolated,Pull,Hips,3
Hanging Leg Raise,Weighted,Isolated,Pull,Hips,4
Hanging Leg Raise:  Straight Leg,Weighted,Isolated,Pull,Hips,5
Incline Leg Raise,Weighted,Isolated,Pull,Hips,3
Incline Leg Raise:  arms on pads,Weighted,Isolated,Pull,Hips,3
Incline Straight Leg Raise,Weighted,Isolated,Pull,Hips,4
